"","state","total_population","votingAgeCap","total_votes_2012","total_votes_2016","White","Black","Hispanic","Nonwhite","Foreign_born","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Party_Name","Vote_Count","Year"
"77","Illinois",12851684,9003485,5241891,5558707,7996856,1810559,2136474,4854828,1791568,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","DEM",3090729,2016
"78","Illinois",12851684,9003485,5241891,5558707,7996856,1810559,2136474,4854828,1791568,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B","#00008B","OTH",321963,2016
"79","Indiana",6589578,4824565,2624534,2734958,5284680,599629,429522,1304898,324368,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","REP",1420543,2012
"80","Indiana",6589578,4824565,2624534,2734958,5284680,599629,429522,1304898,324368,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","DEM",1152887,2012
"81","Indiana",6589578,4824565,2624534,2734958,5284680,599629,429522,1304898,324368,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","OTH",51104,2012
"82","Indiana",6589578,4824565,2624534,2734958,5284680,599629,429522,1304898,324368,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","REP",1557286,2016
"83","Indiana",6589578,4824565,2624534,2734958,5284680,599629,429522,1304898,324368,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","DEM",1033126,2016
"84","Indiana",6589578,4824565,2624534,2734958,5284680,599629,429522,1304898,324368,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C","#DC143C","OTH",144546,2016
"85","Iowa",3106589,2295045,1582180,1566031,2701600,100660,172707,404989,151167,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","REP",730617,2012
"86","Iowa",3106589,2295045,1582180,1566031,2701600,100660,172707,404989,151167,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","DEM",822544,2012
