"","state","Rep_12","Dem_12","Other_12","Rep_16","Dem_16","Other_16","total_population","votingAgeCap","total_votes_2012","total_votes_2016","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Demographic","Dem_pop"
"84","Kentucky",1087190,679370,30652,1202971,628854,92324,4411989,3313780,1797212,1924149,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","Nonwhite",645643
"85","Kentucky",1087190,679370,30652,1202971,628854,92324,4411989,3313780,1797212,1924149,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","Foreign_born",154143
"86","Louisiana",1152262,809141,32662,1178638,780154,70240,4645670,3432025,1994065,2029032,2373986,1919300,633725,359715.161358292,750373.185457647,3578269.48638439,533055.559329629,3296173.64976405,1226202.83774742,40793,"#DC143C","#DC143C","White",2754643
"87","Louisiana",1152262,809141,32662,1178638,780154,70240,4645670,3432025,1994065,2029032,2373986,1919300,633725,359715.161358292,750373.185457647,3578269.48638439,533055.559329629,3296173.64976405,1226202.83774742,40793,"#DC143C","#DC143C","Black",1483906
"88","Louisiana",1152262,809141,32662,1178638,780154,70240,4645670,3432025,1994065,2029032,2373986,1919300,633725,359715.161358292,750373.185457647,3578269.48638439,533055.559329629,3296173.64976405,1226202.83774742,40793,"#DC143C","#DC143C","Hispanic",223408
"89","Louisiana",1152262,809141,32662,1178638,780154,70240,4645670,3432025,1994065,2029032,2373986,1919300,633725,359715.161358292,750373.185457647,3578269.48638439,533055.559329629,3296173.64976405,1226202.83774742,40793,"#DC143C","#DC143C","Nonwhite",1891027
"90","Louisiana",1152262,809141,32662,1178638,780154,70240,4645670,3432025,1994065,2029032,2373986,1919300,633725,359715.161358292,750373.185457647,3578269.48638439,533055.559329629,3296173.64976405,1226202.83774742,40793,"#DC143C","#DC143C","Foreign_born",187580
"91","Maine",291418,399235,19473,334945,354718,54278,1329923,1051865,710126,743941,678579,450087,242251,80694.6298805712,107474.423487405,939982.95940624,102344.546558222,937550.896294296,812705.932864346,47025,"#00008B","#00008B","White",1246606
"92","Maine",291418,399235,19473,334945,354718,54278,1329923,1051865,710126,743941,678579,450087,242251,80694.6298805712,107474.423487405,939982.95940624,102344.546558222,937550.896294296,812705.932864346,47025,"#00008B","#00008B","Black",15472
"93","Maine",291418,399235,19473,334945,354718,54278,1329923,1051865,710126,743941,678579,450087,242251,80694.6298805712,107474.423487405,939982.95940624,102344.546558222,937550.896294296,812705.932864346,47025,"#00008B","#00008B","Hispanic",19772
